text,emotion
I feel anxious about deadlines,anxious
My mind keeps racing about an interview,anxious
I feel uneasy and my heart is racing,anxious
I keep overthinking work expectations,anxious
I feel anxious and my throat feels tense,anxious
I keep overthinking not meeting my goals,anxious
My mind keeps racing about money problems,anxious
I can't stop worrying about school assignments,anxious
My mind keeps racing about school assignments,anxious
I feel under a lot of pressure from social situations,stress
I'm struggling to keep up with my health,stress
I feel burned out from not meeting my goals,stress
I feel stressed and I can't focus on an interview,stress
I'm stressed because of family issues,stress
I'm overwhelmed with what people think of me,stress
I'm overloaded with an interview and unexpected problems,stress
I'm stressed because of my health,stress
I feel like I'm drowning in my future,stress
I'm overloaded with everything happening at once and a difficult conversation,stress
I feel burned out from a presentation,stress
I'm overloaded with an interview and personal issues,stress
I feel stressed and I can't sit still,stress
I'm overloaded with everything happening at once and family expectations,stress
I'm overloaded with money problems and constant notifications,stress
I'm overwhelmed with not meeting my goals,stress
I'm overloaded with money problems and health concerns,stress
I'm overloaded with not meeting my goals and health concerns,stress
I'm overloaded with work expectations and a difficult conversation,stress
I'm overloaded with not meeting my goals and a difficult conversation,stress
I'm overwhelmed with social situations,stress
I feel burned out from my exams,stress
I feel pressure to handle everything alone,stress
I'm overloaded with making mistakes and personal issues,stress
I feel stressed and drained after my health,stress
I feel pressure to not make any mistakes,stress
I'm stressed and I keep overthinking everything,stress
I'm overloaded with my exams and constant notifications,stress
I feel like I'm drowning in school assignments,stress
I'm stressed because of a presentation,stress
I'm stressed because something bad will happen,stress
I'm overloaded with my health and too many commitments,stress
I feel like I'm drowning in an interview,stress
I'm stressed because of my relationship,stress
I feel stressed and I feel irritable,stress
I feel stressed and drained after family issues,stress
I'm overloaded with social situations and personal issues,stress
I'm stressed because of deadlines,stress
I'm overloaded with my future and too many commitments,stress
I feel under a lot of pressure from what people think of me,stress
I feel stressed and drained after making mistakes,stress
I'm overloaded with what people think of me and house responsibilities,stress
I'm overloaded with family issues and house responsibilities,stress
I'm stressed because I will be alone forever,stress
I'm overloaded with social situations and family expectations,stress
I feel under a lot of pressure from my job,stress
I'm overloaded with making mistakes and a difficult conversation,stress
I'm overloaded with a presentation and constant notifications,stress
I'm struggling to keep up with my relationship,stress
I feel pressure to keep everyone happy,stress
I feel stressed and drained after everything happening at once,stress
I feel burned out from an interview,stress
I'm overloaded with my exams and personal issues,stress
I'm overwhelmed with my health,stress
I'm overloaded with not meeting my goals and personal issues,stress
I'm struggling to keep up with everything happening at once,stress
I'm struggling to keep up with my exams,stress
I'm overloaded with school assignments and a difficult conversation,stress
I feel like I'm drowning in family issues,stress
I'm overloaded with everything happening at once and unexpected problems,stress
I'm overloaded with my exams and too many commitments,stress
I'm overwhelmed with my exams,stress
I feel under a lot of pressure from a presentation,stress
I feel stressed and drained after money problems,stress
I feel burned out from everything happening at once,stress
I'm overloaded with what people think of me and health concerns,stress
I'm overloaded with a presentation and personal issues,stress
I'm overloaded with making mistakes and unexpected problems,stress
I'm overloaded with work expectations and unexpected problems,stress
I'm overwhelmed with making mistakes,stress
I'm overloaded with my job and unexpected problems,stress
I'm overloaded with deadlines and health concerns,stress
I'm overloaded with school assignments and unexpected problems,stress
I'm overloaded with my job and too many commitments,stress
I'm overloaded with what people think of me and personal issues,stress
I'm overloaded with not meeting my goals and family expectations,stress
I feel pressure to meet every deadline,stress
I feel under a lot of pressure from money problems,stress
I'm stressed because of social situations,stress
I'm overloaded with family issues and health concerns,stress
I'm stressed because I will disappoint everyone,stress
I feel like I'm drowning in my health,stress
I feel like I'm drowning in making mistakes,stress
I'm overloaded with an interview and a difficult conversation,stress
I'm overloaded with my future and personal issues,stress
I'm stressed and I keep procrastinating,stress
I'm overloaded with social situations and constant notifications,stress
I'm overloaded with my future and house responsibilities,stress
I'm struggling to keep up with deadlines,stress
I feel like I'm drowning in what people think of me,stress
I'm overloaded with what people think of me and family expectations,stress
I'm stressed and I keep avoiding people,stress
I'm stressed because I will mess up,stress
I feel pressure to be productive all the time,stress
I'm overloaded with what people think of me and a difficult conversation,stress
I feel under a lot of pressure from my health,stress
I feel like I'm drowning in a presentation,stress
I feel stressed and I can't focus on my job,stress
I'm overloaded with an interview and health concerns,stress
I feel stressed and I can't focus on my relationship,stress
I'm struggling to keep up with my job,stress
I'm overloaded with a presentation and a difficult conversation,stress
I'm overloaded with deadlines and too many commitments,stress
I'm overloaded with deadlines and family expectations,stress
I feel stressed and drained after my job,stress
I feel stressed and I can't focus on work expectations,stress
I'm overloaded with school assignments and too many commitments,stress
I'm overloaded with not meeting my goals and constant notifications,stress
I feel under a lot of pressure from making mistakes,stress
I'm struggling to keep up with family issues,stress
I'm overloaded with my relationship and a difficult conversation,stress
I'm stressed because I will panic again,stress
I'm stressed because I won't be good enough,stress
I'm stressed and I keep staying in bed,stress
I feel stressed and I feel shaky,stress
I'm stressed because I will lose my job,stress
I'm overloaded with my future and constant notifications,stress
I feel burned out from what people think of me,stress
I'm struggling to keep up with my future,stress
I'm overloaded with what people think of me and unexpected problems,stress
I'm overloaded with making mistakes and health concerns,stress
I feel stressed and I can't focus on my future,stress
I feel stressed and I can't focus on family issues,stress
I feel stressed and drained after an interview,stress
I feel stressed and drained after what people think of me,stress
I'm overwhelmed with work expectations,stress
I'm overloaded with school assignments and family expectations,stress
I feel burned out from school assignments,stress
I'm stressed because I will fail,stress
I feel stressed and I can't focus on my health,stress
I feel burned out from my future,stress
I'm overloaded with my future and a difficult conversation,stress
I'm overloaded with social situations and a difficult conversation,stress
I'm overloaded with deadlines and house responsibilities,stress
I'm overloaded with my health and house responsibilities,stress
I'm overloaded with everything happening at once and too many commitments,stress
I'm overloaded with my exams and health concerns,stress
I feel under a lot of pressure from family issues,stress
I feel stressed and drained after not meeting my goals,stress
I'm stressed because of making mistakes,stress
I'm overloaded with deadlines and unexpected problems,stress
I'm overwhelmed with an interview,stress
I feel pressure to do everything perfectly,stress
I'm overloaded with everything happening at once and house responsibilities,stress
I feel stressed and I feel tense,stress
I'm overloaded with school assignments and constant notifications,stress
I feel stressed and I can't focus on everything happening at once,stress
I'm overloaded with family issues and constant notifications,stress
I'm overloaded with my job and health concerns,stress
I'm struggling to keep up with money problems,stress
I'm overloaded with my health and personal issues,stress
I feel stressed and drained after my exams,stress
I feel stressed and I can't focus on deadlines,stress
I feel like I'm drowning in social situations,stress
I'm overloaded with my future and family expectations,stress
I feel burned out from my relationship,stress
I'm stressed because of my future,stress
I'm struggling to keep up with an interview,stress
I'm stressed because of school assignments,stress
I feel burned out from making mistakes,stress
I feel stressed and drained after social situations,stress
I'm overwhelmed with money problems,stress
I'm overwhelmed with deadlines,stress
I'm overloaded with a presentation and health concerns,stress
I'm overloaded with my exams and unexpected problems,stress
I feel under a lot of pressure from my relationship,stress
I'm overloaded with deadlines and constant notifications,stress
I'm stressed because of my exams,stress
I'm struggling to keep up with not meeting my goals,stress
I'm stressed because of my job,stress
I'm struggling to keep up with what people think of me,stress
I'm overloaded with my job and personal issues,stress
I feel stressed and drained after work expectations,stress
I'm stressed because of money problems,stress
I feel stressed and my chest feels tight,stress
I'm struggling to keep up with making mistakes,stress
I'm overloaded with what people think of me and too many commitments,stress
I feel burned out from my health,stress
I feel like I'm drowning in everything happening at once,stress
I'm overloaded with my job and family expectations,stress
I feel under a lot of pressure from everything happening at once,stress
I'm overloaded with what people think of me and constant notifications,stress
I feel under a lot of pressure from work expectations,stress
I'm overloaded with everything happening at once and personal issues,stress
I feel stressed and I can't focus on money problems,stress
I'm overloaded with my exams and a difficult conversation,stress
I'm overloaded with my job and constant notifications,stress
I feel stressed and I can't focus on what people think of me,stress
I feel stressed and my heart is racing,stress
I'm overloaded with school assignments and house responsibilities,stress
I'm overloaded with money problems and house responsibilities,stress
I feel burned out from family issues,stress
I'm overloaded with everything happening at once and health concerns,stress
I'm overwhelmed with my future,stress
I feel like I'm drowning in my job,stress
I'm stressed and I keep replaying conversations in my head,stress
I feel stressed and my stomach feels upset,stress
I'm overloaded with my relationship and personal issues,stress
I'm overloaded with family issues and unexpected problems,stress
I'm stressed because I will be judged,stress
I'm stressed because of not meeting my goals,stress
I feel under a lot of pressure from an interview,stress
I'm overloaded with my exams and family expectations,stress
I'm overloaded with everything happening at once and constant notifications,stress
I feel like I'm drowning in my relationship,stress
I'm overwhelmed with a presentation,stress
I feel burned out from work expectations,stress
I'm stressed and I keep pacing around,stress
I'm overloaded with a presentation and unexpected problems,stress
I'm overloaded with not meeting my goals and house responsibilities,stress
I feel stressed and drained after deadlines,stress
I'm overloaded with deadlines and personal issues,stress
I feel stressed and drained after a presentation,stress
I feel stressed and I can't focus on school assignments,stress
I feel under a lot of pressure from school assignments,stress
I'm overloaded with money problems and family expectations,stress
I'm struggling to keep up with a presentation,stress
I'm overloaded with my future and health concerns,stress
I'm stressed because of work expectations,stress
I feel burned out from money problems,stress
I'm overloaded with school assignments and personal issues,stress
I feel stressed and I can't focus on not meeting my goals,stress
I'm overloaded with my health and unexpected problems,stress
I feel under a lot of pressure from my future,stress
I feel stressed and drained after my future,stress
I feel burned out from social situations,stress
I'm overloaded with my relationship and unexpected problems,stress
I'm overwhelmed with my relationship,stress
I'm overloaded with money problems and unexpected problems,stress
I feel like I'm drowning in my exams,stress
I'm stressed because of what people think of me,stress
I feel under a lot of pressure from deadlines,stress
I feel like I'm drowning in money problems,stress
I'm overwhelmed with school assignments,stress
I'm overloaded with an interview and too many commitments,stress
I feel stressed and my head hurts,stress
I feel like I'm drowning in not meeting my goals,stress
I'm overloaded with my relationship and family expectations,stress
I'm overloaded with making mistakes and family expectations,stress
I'm stressed and I keep biting my nails,stress
I'm overloaded with work expectations and house responsibilities,stress
I'm stressed because of an interview,stress
I'm overloaded with an interview and constant notifications,stress
I feel stressed even when I try to rest,stress
I'm overloaded with making mistakes and house responsibilities,stress
I'm overwhelmed with everything happening at once,stress
I feel stressed and I can't focus on my exams,stress
I feel stressed and I can't focus on social situations,stress
I feel under a lot of pressure from not meeting my goals,stress
I'm overloaded with money problems and a difficult conversation,stress
I feel like I'm drowning in work expectations,stress
I'm overloaded with my relationship and constant notifications,stress
I'm overloaded with money problems and too many commitments,stress
I feel under a lot of pressure from my exams,stress
I'm overloaded with a presentation and family expectations,stress
I'm overloaded with an interview and house responsibilities,stress
I'm struggling to keep up with school assignments,stress
I'm overloaded with deadlines and a difficult conversation,stress
I feel burned out from deadlines,stress
I'm overloaded with not meeting my goals and too many commitments,stress
I'm overloaded with my health and health concerns,stress
I'm overloaded with my job and house responsibilities,stress
I feel like I'm drowning in deadlines,stress
I'm overloaded with work expectations and too many commitments,stress
I'm overloaded with making mistakes and too many commitments,stress
I'm overwhelmed with my job,stress
I'm struggling to keep up with social situations,stress
I'm stressed and I keep checking my phone,stress
I'm overloaded with my exams and house responsibilities,stress
I'm overloaded with family issues and family expectations,stress
I'm overloaded with work expectations and personal issues,stress
I'm overloaded with social situations and too many commitments,stress
I'm overloaded with my health and a difficult conversation,stress
I feel burned out from my job,stress
I'm overloaded with my relationship and house responsibilities,stress
I'm struggling to keep up with work expectations,stress
I'm overloaded with family issues and too many commitments,stress
I'm overloaded with my future and unexpected problems,stress
I'm overloaded with my job and a difficult conversation,stress
I'm stressed because of everything happening at once,stress
I'm overwhelmed with family issues,stress
I feel stressed and I can't focus on making mistakes,stress
I'm overloaded with work expectations and family expectations,stress
I'm overloaded with my relationship and too many commitments,stress
I feel stressed and drained after my relationship,stress
I'm overloaded with my relationship and health concerns,stress
I feel stressed and I can't focus on a presentation,stress
I feel stressed and I keep clenching my jaw,stress
I'm overloaded with social situations and unexpected problems,stress
I feel stressed and drained after school assignments,stress
I'm overloaded with my health and constant notifications,stress
I'm stressed and I keep scrolling social media,stress
I feel invisible to everyone,lonely
I feel lonely most evenings,lonely
I feel lonely when I wake up,lonely
I feel lonely and I keep procrastinating,lonely
I miss having someone who understands me,lonely
I feel alone because I ended a relationship,lonely
I feel alone because I can't open up to people,lonely
I wish I had a friend to talk to,lonely
I feel left out and lonely,lonely
I feel lonely and I keep replaying conversations in my head,lonely
I feel lonely and I keep avoiding people,lonely
I feel alone because I don't fit in,lonely
I feel lonely after work,lonely
I feel lonely even though I think about tomorrow,lonely
I wish I had someone who understands,lonely
I wish I had a real connection,lonely
I feel disconnected from my classmates,lonely
I feel lonely even though I'm surrounded by people,lonely
I feel alone because I don't have close friends,lonely
I feel lonely on weekends,lonely
I feel lonely late at night,lonely
I feel lonely even though I am alone,lonely
I don't feel close to anyone right now,lonely
I feel lonely even though I open my messages,lonely
I feel lonely even though I'm scrolling social media,lonely
I feel lonely and I keep overthinking everything,lonely
I feel lonely and I keep staying in bed,lonely
I feel lonely even though I'm at home,lonely
I feel alone because I feel judged,lonely
I feel lonely when I'm alone,lonely
I feel lonely and I keep pacing around,lonely
I feel disconnected from my coworkers,lonely
I wish I had someone to listen to me,lonely
I feel lonely and misunderstood,lonely
I feel alone because my friends are busy,lonely
I feel alone because I don't feel understood,lonely
I feel disconnected from my family,lonely
I feel lonely at night,lonely
I feel lonely even though I am in public,lonely
I feel disconnected from people around me,lonely
I feel lonely in the mornings,lonely
I feel lonely and I keep checking my phone,lonely
I feel disconnected from my friends,lonely
I feel lonely and I keep biting my nails,lonely
I feel isolated and disconnected from people,lonely
I feel lonely even though I have to talk to someone,lonely
I feel like I have no one to talk to,lonely
I feel alone because I moved to a new place,lonely
I feel alone with my thoughts,lonely
I feel lonely even though I try to sleep,lonely
I feel lonely and I keep scrolling social media,lonely
I wish I had support from people around me,lonely
I feel tired when I wake up,tired
I'm exhausted because work expectations,tired
I have no energy to cook a meal,tired
I feel tired and I can't concentrate on what people think of me,tired
I feel tired and I keep avoiding people,tired
I feel drained and my throat feels shaky,tired
I feel drained and my head feels heavy,tired
I feel drained and my head feels numb,tired
I feel tired and I can't concentrate on not meeting my goals,tired
I feel exhausted after my relationship,tired
I'm exhausted because money problems,tired
I feel exhausted after school assignments,tired
I'm exhausted because social situations,tired
I feel drained and my throat feels weak,tired
I feel drained and my shoulders feels tight,tired
I feel tired and I can't concentrate on money problems,tired
I have no energy to do work tasks,tired
I feel drained and my chest feels shaky,tired
I feel drained and my head feels shaky,tired
I feel drained and my chest feels heavy,tired
I feel drained and my stomach feels weak,tired
I feel tired all the time lately,tired
I feel drained and my shoulders feels tense,tired
I have no energy to do getting out of bed,tired
I'm exhausted because my exams,tired
I have no energy to finish my tasks,tired
I feel tired and I can't concentrate on an interview,tired
I'm exhausted because an interview,tired
I feel exhausted after my job,tired
I feel drained and my hands feels weak,tired
I feel tired when I'm alone,tired
I feel drained and my hands feels shaky,tired
I have no energy to do taking care of myself,tired
I feel exhausted and overwhelmed,tired
I feel tired and I can't concentrate on a presentation,tired
I feel tired and I keep checking my phone,tired
I feel tired even after sleeping,tired
I feel exhausted after family issues,tired
I have no energy to go to work,tired
I have no energy to do basic chores,tired
I feel exhausted after my future,tired
I'm exhausted because my health,tired
I feel drained and my hands feels tense,tired
I'm exhausted because my job,tired
I feel tired and I can't concentrate on my future,tired
I feel tired after work,tired
I feel exhausted after everything happening at once,tired
I feel tired and I keep overthinking everything,tired
I feel drained and my chest feels weak,tired
I feel tired and I keep biting my nails,tired
I feel drained and my stomach feels numb,tired
I have no energy to clean my room,tired
I feel drained and my throat feels tight,tired
I feel exhausted after social situations,tired
I feel drained and my shoulders feels weak,tired
I feel tired and I can't concentrate on my health,tired
I feel tired and I can't concentrate on school assignments,tired
I feel tired late at night,tired
I feel drained and my stomach feels tense,tired
I'm exhausted because a presentation,tired
I feel drained and my chest feels tight,tired
I feel worn out and unmotivated,tired
I feel tired and I can't concentrate on deadlines,tired
I feel drained and my shoulders feels shaky,tired
I feel drained and my hands feels heavy,tired
I feel drained and my chest feels tense,tired
I feel tired and I keep pacing around,tired
I feel drained and my throat feels numb,tired
I feel drained and my shoulders feels heavy,tired
I feel drained and my stomach feels shaky,tired
I have no energy to do making decisions,tired
I have no energy to do my homework,tired
I'm exhausted because school assignments,tired
I feel drained and my head feels tense,tired
I'm exhausted because deadlines,tired
I feel exhausted after money problems,tired
I feel drained and my shoulders feels numb,tired
I have no energy to reply to messages,tired
I'm exhausted because what people think of me,tired
I'm exhausted because my future,tired
I feel drained and my hands feels tight,tired
I have no energy to do talking to anyone,tired
I feel exhausted after work expectations,tired
I feel tired at night,tired
I feel exhausted after deadlines,tired
I feel drained and my head feels tight,tired
I'm exhausted because my relationship,tired
I feel tired and I keep procrastinating,tired
I feel tired and I keep scrolling social media,tired
I feel tired and everything feels hard,tired
I feel tired and I can't concentrate on family issues,tired
I have no energy to go to class,tired
I feel tired and I can't concentrate on my relationship,tired
I feel drained and my throat feels heavy,tired
I feel drained and my head feels weak,tired
I'm exhausted because family issues,tired
I have no energy to exercise,tired
I feel tired on weekends,tired
I feel tired and I keep replaying conversations in my head,tired
I'm exhausted because not meeting my goals,tired
I feel exhausted after my health,tired
I feel exhausted after what people think of me,tired
I feel tired and I keep staying in bed,tired
I feel exhausted after a presentation,tired
I feel tired in the mornings,tired
I have no energy to start my day,tired
I feel drained and my throat feels tense,tired
I feel tired most evenings,tired
I feel tired and I can't concentrate on work expectations,tired
I have no energy to take a shower,tired
I'm exhausted because making mistakes,tired
I feel tired and I can't concentrate on making mistakes,tired
I have no energy to do going outside,tired
I feel exhausted after an interview,tired
I feel drained and my hands feels numb,tired
I feel drained and my stomach feels heavy,tired
I feel tired and I can't concentrate on everything happening at once,tired
I feel exhausted after making mistakes,tired
I feel exhausted after not meeting my goals,tired
I feel tired and I can't concentrate on social situations,tired
I feel drained and my chest feels numb,tired
I'm exhausted because everything happening at once,tired
I feel tired and I can't concentrate on my job,tired
I feel drained and my stomach feels tight,tired
I feel tired and I can't concentrate on my exams,tired
I feel mentally and physically drained,tired
I feel exhausted after my exams,tired
I feel frightened by my thoughts about everything happening at once,fear
I'm afraid that I will mess up,fear
I feel terrified about money problems,fear
I feel frightened by my thoughts about work expectations,fear
I feel terrified and my head feels tight,fear
I feel scared that I will be alone forever,fear
I'm afraid that I will panic again,fear
I feel terrified and my head feels shaky,fear
I feel terrified about making mistakes,fear
I feel terrified about what people think of me,fear
I'm scared that I will fail again,fear
I feel terrified about my job,fear
I'm scared because an interview,fear
I feel terrified and my shoulders feels numb,fear
I feel frightened by my thoughts about not meeting my goals,fear
I feel terrified and my shoulders feels tight,fear
I feel terrified and my chest feels shaky,fear
I'm afraid that something bad will happen,fear
I feel terrified and my hands feels numb,fear
I feel scared that something bad will happen,fear
I feel terrified and my chest feels weak,fear
I'm scared that something bad will happen soon,fear
I'm scared because school assignments,fear
I'm scared because work expectations,fear
I feel scared when I try to sleep,fear
I'm scared because deadlines,fear
I feel terrified and my chest feels numb,fear
I feel scared that I won't be good enough,fear
I feel terrified about social situations,fear
I feel fear and my body feels tense,fear
I feel terrified and my shoulders feels tense,fear
I feel afraid when I am alone,fear
I feel frightened by my thoughts about family issues,fear
I'm scared because my future,fear
I feel scared when I'm surrounded by people,fear
I'm scared that I will be rejected,fear
I feel afraid when I'm scrolling social media,fear
I feel terrified about deadlines,fear
I feel frightened by my thoughts about money problems,fear
I feel terrified about an interview,fear
I'm scared because making mistakes,fear
I feel terrified and my chest feels tense,fear
I feel terrified about my relationship,fear
I feel scared when I have to talk to someone,fear
I'm scared that I will lose control,fear
I feel fear when I wake up,fear
I feel terrified and my head feels heavy,fear
I feel terrified and my head feels numb,fear
I feel frightened by my thoughts about my job,fear
I feel scared when I'm at home,fear
I'm afraid that I will be alone forever,fear
I feel terrified and my throat feels shaky,fear
I'm scared because family issues,fear
I feel terrified and my stomach feels numb,fear
I'm scared because my health,fear
I feel terrified about my exams,fear
I feel terrified and my head feels weak,fear
I feel terrified about a presentation,fear
I feel fear when I'm alone,fear
I'm scared because my job,fear
I feel fear after work,fear
I'm scared because money problems,fear
I feel fearful and on edge,fear
I feel terrified and my shoulders feels heavy,fear
I feel fear most evenings,fear
I feel frightened by my thoughts about an interview,fear
I feel terrified about not meeting my goals,fear
I feel scared and I want to hide,fear
I feel terrified and my stomach feels tense,fear
I feel frightened by my thoughts about my relationship,fear
I feel scared when I'm scrolling social media,fear
I'm scared because not meeting my goals,fear
I feel afraid when I have to talk to someone,fear
I feel scared that I will mess up,fear
I feel terrified and my throat feels tense,fear
I feel terrified and my stomach feels shaky,fear
I feel fear late at night,fear
I feel afraid when I'm surrounded by people,fear
I feel scared that I will be judged,fear
I feel scared when I open my messages,fear
I feel frightened by my thoughts about what people think of me,fear
I feel scared when I am in public,fear
I feel terrified about my future,fear
I feel afraid when I'm at home,fear
I feel terrified and my stomach feels heavy,fear
I feel terrified and my shoulders feels weak,fear
I feel fear at night,fear
I feel terrified and my stomach feels weak,fear
I feel afraid when I am in public,fear
I feel frightened by my thoughts about making mistakes,fear
I feel scared that I will lose my job,fear
I'm scared because my relationship,fear
I feel terrified about everything happening at once,fear
I feel terrified and my chest feels heavy,fear
I feel terrified about family issues,fear
I'm afraid that I will disappoint everyone,fear
I feel terrified and my throat feels tight,fear
I feel terrified and my hands feels heavy,fear
I feel terrified and my hands feels shaky,fear
I feel terrified and my throat feels heavy,fear
I feel terrified and my hands feels tight,fear
I feel terrified and my shoulders feels shaky,fear
I feel terrified about my health,fear
I feel frightened and unsafe,fear
I'm scared that I will get hurt,fear
I feel scared when I am alone,fear
I feel terrified and my stomach feels tight,fear
I feel terrified about school assignments,fear
I'm afraid that I will be judged,fear
I feel afraid when I think about tomorrow,fear
I feel frightened by my thoughts about deadlines,fear
I'm scared because a presentation,fear
I'm afraid that I will fail,fear
I'm scared because social situations,fear
I feel frightened by my thoughts about a presentation,fear
I feel terrified and my throat feels numb,fear
I feel terrified about work expectations,fear
I feel frightened by my thoughts about school assignments,fear
